                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3853,                  1.081,                 2.0714,                0.85407,                0.95253,                0.95541,                0.68614,                 1.7318,                 1.0886,                 2.1865,              0.0033315,              0.0033315,              0.0033315
                      2,                 1.3815,                 0.8622,                 2.0632,                0.90145,                0.92563,                0.96636,                 0.6913,                 1.8176,                0.94393,                  2.201,              0.0066428,              0.0066428,              0.0066428
                      3,                 1.5202,                0.94717,                 2.1256,                0.80303,                0.95792,                0.94748,                0.65571,                 1.8213,                 1.2259,                 2.2867,              0.0099321,              0.0099321,              0.0099321
                      4,                 1.5032,                 0.9585,                 2.1321,                0.81168,                0.94304,                 0.9337,                 0.6353,                 1.8504,                 1.0207,                  2.307,               0.009901,               0.009901,               0.009901
                      5,                 1.3447,                0.86765,                  2.057,                0.87844,                0.94336,                0.96607,                 0.6423,                  1.893,                 0.9687,                 2.3301,               0.009868,               0.009868,               0.009868
                      6,                 1.2628,                0.85256,                 2.0272,                 0.8468,                0.88772,                0.94695,                0.62893,                 1.9699,                 1.0832,                 2.4327,               0.009835,               0.009835,               0.009835
                      7,                 1.2058,                0.84224,                 2.0042,                0.79792,                0.94937,                0.95216,                0.64732,                 1.8777,                 1.0783,                 2.3305,               0.009802,               0.009802,               0.009802
                      8,                 1.1532,                0.81992,                  1.982,                0.79167,                0.92596,                0.94497,                0.64238,                 1.8612,                 1.0768,                 2.3315,               0.009769,               0.009769,               0.009769
                      9,                 1.1282,                0.80556,                 1.9668,                0.79493,                0.93229,                0.94264,                0.64711,                 1.8498,                 1.0974,                 2.3074,               0.009736,               0.009736,               0.009736
                     10,                 1.1021,                0.80553,                 1.9577,                0.77964,                0.95448,                0.94479,                 0.6436,                 1.8592,                 1.0801,                 2.3241,               0.009703,               0.009703,               0.009703
                     11,                 1.0744,                0.78621,                 1.9464,                0.80522,                0.93211,                0.94527,                 0.6486,                 1.8614,                  1.118,                 2.3411,                0.00967,                0.00967,                0.00967
                     12,                 1.0586,                0.78242,                 1.9428,                0.80139,                0.94491,                0.94554,                0.64904,                 1.8654,                 1.1073,                 2.3208,               0.009637,               0.009637,               0.009637
                     13,                 1.0502,                0.76841,                 1.9352,                0.88272,                0.81566,                0.94866,                0.65385,                 1.8563,                  1.103,                 2.3204,               0.009604,               0.009604,               0.009604
                     14,                 1.0303,                0.76752,                  1.924,                0.89415,                0.80864,                0.95011,                0.65359,                 1.8666,                 1.1075,                 2.3504,               0.009571,               0.009571,               0.009571
                     15,                 1.0156,                0.75314,                 1.9159,                 0.8947,                0.81335,                0.94954,                0.65346,                 1.8743,                 1.1101,                 2.3615,               0.009538,               0.009538,               0.009538
                     16,                 1.0079,                0.75388,                  1.924,                0.79594,                0.95353,                0.94589,                0.65199,                 1.8671,                 1.1228,                 2.3549,               0.009505,               0.009505,               0.009505
                     17,                 1.0031,                0.75462,                 1.9221,                0.88821,                0.80461,                0.94668,                0.65331,                 1.8614,                 1.1222,                 2.3495,               0.009472,               0.009472,               0.009472
                     18,                0.98187,                0.74144,                 1.9141,                0.88082,                0.81408,                0.94672,                0.65485,                 1.8745,                 1.1239,                 2.3623,               0.009439,               0.009439,               0.009439
                     19,                0.97445,                0.74055,                 1.9069,                0.80053,                0.94699,                0.94535,                0.65233,                 1.8777,                 1.1324,                 2.3659,               0.009406,               0.009406,               0.009406
                     20,                0.97335,                0.73365,                 1.9086,                0.87685,                0.81116,                0.94465,                0.65192,                 1.8825,                 1.1354,                 2.3689,               0.009373,               0.009373,               0.009373
                     21,                0.96713,                0.73384,                 1.9065,                0.88142,                0.81013,                0.94504,                 0.6513,                 1.8833,                 1.1292,                   2.37,                0.00934,                0.00934,                0.00934
                     22,                0.96733,                0.73203,                 1.9117,                0.88032,                0.81092,                 0.9459,                 0.6524,                 1.8845,                 1.1313,                 2.3727,               0.009307,               0.009307,               0.009307
                     23,                0.96488,                0.73643,                 1.9108,                0.88017,                0.81092,                0.94554,                0.65264,                 1.8825,                 1.1269,                 2.3718,               0.009274,               0.009274,               0.009274
                     24,                 0.9574,                0.72161,                 1.9081,                0.88058,                0.81086,                0.94379,                0.65072,                 1.8817,                 1.1326,                 2.3733,               0.009241,               0.009241,               0.009241
                     25,                0.95174,                0.73079,                 1.9044,                0.87567,                0.81353,                0.94291,                0.64854,                  1.882,                 1.1292,                 2.3741,               0.009208,               0.009208,               0.009208
                     26,                0.94691,                0.72374,                 1.8946,                0.87662,                0.80946,                0.94364,                0.64859,                 1.8856,                 1.1291,                 2.3753,               0.009175,               0.009175,               0.009175
                     27,                0.93719,                0.72523,                 1.8942,                0.87835,                0.80459,                0.94255,                0.64675,                 1.8851,                 1.1309,                 2.3747,               0.009142,               0.009142,               0.009142
                     28,                0.94277,                0.72503,                 1.8994,                0.87632,                0.81171,                 0.9431,                0.64885,                 1.8858,                 1.1315,                 2.3763,               0.009109,               0.009109,               0.009109
                     29,                0.93207,                 0.7144,                 1.8876,                0.87645,                0.81329,                0.94426,                0.64894,                 1.8872,                 1.1238,                 2.3761,               0.009076,               0.009076,               0.009076
                     30,                0.93616,                 0.7107,                 1.8954,                0.87454,                0.81408,                0.94345,                0.64818,                 1.8867,                 1.1298,                 2.3804,               0.009043,               0.009043,               0.009043
                     31,                0.92553,                0.71441,                 1.8846,                0.87801,                0.81329,                0.94394,                 0.6492,                 1.8872,                 1.1272,                  2.379,                0.00901,                0.00901,                0.00901
                     32,                0.91194,                0.70492,                 1.8783,                0.87136,                0.81566,                0.94191,                0.64802,                 1.8834,                 1.1253,                 2.3812,               0.008977,               0.008977,               0.008977
                     33,                0.91553,                 0.7101,                 1.8811,                0.86832,                0.81566,                  0.941,                0.64654,                 1.8849,                 1.1233,                 2.3826,               0.008944,               0.008944,               0.008944
                     34,                0.91548,                0.70445,                 1.8826,                0.87449,                0.81033,                0.94257,                0.64723,                  1.883,                 1.1232,                 2.3813,               0.008911,               0.008911,               0.008911
                     35,                0.91553,                0.69928,                 1.8816,                0.87478,                0.81248,                0.94283,                 0.6487,                 1.8822,                 1.1179,                  2.381,               0.008878,               0.008878,               0.008878
                     36,                0.91456,                0.71016,                 1.8849,                0.86964,                0.81277,                0.94023,                 0.6469,                 1.8804,                 1.1185,                 2.3829,               0.008845,               0.008845,               0.008845
                     37,                0.91599,                0.70495,                 1.8856,                0.87381,                0.81171,                0.93968,                0.64778,                 1.8807,                 1.1225,                 2.3848,               0.008812,               0.008812,               0.008812
                     38,                0.91512,                0.70965,                 1.8849,                0.87083,                 0.8125,                0.94164,                0.64772,                 1.8797,                 1.1243,                 2.3821,               0.008779,               0.008779,               0.008779
                     39,                0.91197,                0.70528,                 1.8873,                0.87287,                0.81478,                0.94162,                0.64899,                 1.8789,                 1.1248,                 2.3831,               0.008746,               0.008746,               0.008746
                     40,                0.90328,                 0.6963,                 1.8749,                0.87105,                0.81329,                0.94181,                0.64863,                 1.8769,                 1.1251,                 2.3825,               0.008713,               0.008713,               0.008713
                     41,                0.91062,                0.70348,                 1.8754,                0.87336,                0.80775,                0.94281,                0.65002,                 1.8772,                 1.1205,                 2.3811,                0.00868,                0.00868,                0.00868
                     42,                0.90445,                0.70175,                 1.8809,                0.86985,                0.81408,                0.94221,                0.65024,                 1.8794,                  1.126,                 2.3822,               0.008647,               0.008647,               0.008647
                     43,                  0.905,                0.69654,                 1.8808,                 0.8693,                0.81408,                0.94145,                0.64969,                  1.879,                 1.1264,                 2.3823,               0.008614,               0.008614,               0.008614
                     44,                0.90628,                0.69289,                 1.8791,                0.87374,                0.81576,                0.94214,                0.64961,                 1.8808,                 1.1321,                 2.3827,               0.008581,               0.008581,               0.008581
                     45,                0.90588,                0.68811,                 1.8825,                0.87347,                0.81373,                0.94183,                0.64878,                 1.8832,                 1.1344,                 2.3845,               0.008548,               0.008548,               0.008548
                     46,                0.90081,                0.70243,                 1.8825,                0.87405,                0.81255,                0.94144,                0.64842,                 1.8829,                 1.1398,                 2.3877,               0.008515,               0.008515,               0.008515
                     47,                0.89953,                0.68955,                 1.8773,                0.86398,                0.81171,                0.93908,                0.64523,                 1.8841,                 1.1478,                 2.3873,               0.008482,               0.008482,               0.008482
                     48,                0.89209,                 0.6892,                 1.8778,                0.86917,                0.81329,                0.93954,                  0.646,                 1.8822,                 1.1439,                 2.3849,               0.008449,               0.008449,               0.008449
                     49,                0.89386,                0.69782,                 1.8754,                0.81328,                0.88291,                0.94139,                0.64852,                 1.8803,                  1.142,                 2.3843,               0.008416,               0.008416,               0.008416
                     50,                0.88962,                0.69462,                 1.8748,                0.81648,                0.86237,                0.93897,                0.64828,                 1.8809,                 1.1401,                 2.3858,               0.008383,               0.008383,               0.008383
                     51,                0.89108,                0.70314,                 1.8724,                 0.8595,                 0.8125,                0.93663,                0.64532,                 1.8826,                 1.1446,                 2.3869,                0.00835,                0.00835,                0.00835
                     52,                0.89136,                0.68693,                 1.8777,                0.86158,                0.81252,                0.93779,                0.64779,                 1.8794,                 1.1443,                  2.386,               0.008317,               0.008317,               0.008317
                     53,                0.89019,                0.68504,                 1.8724,                0.86754,                0.80538,                0.93815,                0.64701,                 1.8781,                 1.1427,                 2.3904,               0.008284,               0.008284,               0.008284
                     54,                0.88487,                0.69083,                 1.8726,                0.80827,                0.86382,                0.93881,                 0.6471,                 1.8763,                 1.1491,                 2.3953,               0.008251,               0.008251,               0.008251
                     55,                0.87543,                0.67517,                 1.8723,                0.81024,                0.87491,                0.93959,                0.64798,                 1.8738,                 1.1452,                 2.3964,               0.008218,               0.008218,               0.008218
                     56,                0.87932,                0.69657,                 1.8742,                0.80697,                0.87647,                0.93931,                0.64658,                 1.8749,                 1.1405,                 2.3994,               0.008185,               0.008185,               0.008185
                     57,                0.87283,                0.67871,                 1.8769,                0.80649,                0.88367,                0.93816,                0.64671,                 1.8774,                  1.142,                 2.4008,               0.008152,               0.008152,               0.008152
                     58,                0.88225,                0.67474,                 1.8684,                0.80854,                0.88205,                0.93943,                0.64795,                 1.8748,                 1.1566,                 2.3967,               0.008119,               0.008119,               0.008119
